be convenient for;/bi/ /kənˈviniənt/ /fɔr/;方便的;;Mobile phones are convenient for capturing special moments.,用手机拍摄特别瞬间非常的方便。
venomous;/ˈvenəməs/;adj. 有毒的，恶毒的，分泌毒液的，怨恨的;capable of putting poison or venom into another animal's body usually by biting or stinging it;I can't tell if a snake is venomous or not, so I avoid all of them.,我不能分辨一条蛇是否有毒，所以我会避开所有的蛇。
invention;/ɪnˈvenʃn/;n. 发明，创造，发明物;something invented; the act of inventing;These are five great inventions of China.,这些是中国的五大发明。
heaven;/ˈhevn/;n. 天国，天堂，乐土，极乐世界;the place where God lives and where good people go after they die according to some religions;Please, God, may I go to heaven when I die?,拜托了，上帝啊，我死后能让我去天堂吗？
even if;;即使，尽管;even though;He had to work even if he was injured.,即使受伤了，他还得继续工作！
seventh;/ˈsevnθ/;n. 第七，七分之一；  adj. 第七的，七分之一的；  adv. 居第七位地;7th;We celebrated his seventh birthday.,我们庆祝了他的七岁生日。
reconvene;/ˌriːkənˈviːn/;v. 重新集合，重新召集;to cause (a group of people) to meet again after a break;This office is boring. Let's reconvene this meeting at the beach.,办公室太没意思了。我们去海滩重新召集本次会议吧！
vent;/vent/;n. 通风口，排气口，发泄；  v. 发泄（情绪），开孔，泄露;an opening through which air, steam, smoke, liquid, etc., can go into or out of a room, machine, or container;The vent takes old air out and pushes fresh air in.,通风孔将废气排出去，新鲜的空气送进来。
contravene;/ˌkɑːntrəˈviːn/;v. 抵触，违反，反驳，否认;to fail to do what is required by (a law or rule);If you contravene the traffic regulations, the police may stop you.,如果你违反了交通规则，警察可能会把你拦下。
track event;/ˈtræk ɪvent/;n. 径赛项目;;Many fast runners compete in the track events.,许多跑得快的选手参加了径赛项目比赛。
venture;/ˈventʃər/;v. 冒险，敢于，冒昧地说；  n. 企业，（商业）冒险，投机，风险投资;proceed somewhere despite the risk of possible dangers;The boys venture deep into the forest.,男孩们深入丛林冒险。
veneer;/vəˈnɪr/;n. （镶于劣质东西上的）镶面板，掩饰；  v. 虚饰，给…镶以饰片;a thin layer of wood or other material that is attached to the surface of something in order to make it look better;These flooring samples have a thin veneer covering the cheaper materials underneath.,这些地板样品有一层薄薄的镶面板，掩盖了下面的便宜材料。
heavenly;/ˈhevnli/;adj. 天上的，神圣的，天国似的；  adv. 无比，极其;very pleasant or good;The blue skies and clear water made for a heavenly vacation.,蓝天和清澈的水造就了天堂般的度假胜地。
eventful;/ɪˈventfl/;adj. 多事的，重要的，多变故的，重大的;having many important things happening;There were even fireworks to conclude the eventful evening.,那个重大的夜晚竟然以烟花表演作为结束。
revenge;/rɪˈvendʒ/;n. 报复；报仇；  v. 为…报仇；报…之仇;the act of doing something to hurt someone because that person did something that hurt you;I took revenge on my boss for making me work so hard!,我报复我老板，因为她让我工作非常辛苦。
intervention;/ˌɪntərˈvenʃn/;n. 调停，介入，干涉，干预; the act of intervening in a situation;The man's intervention helped the couple reconcile with each other.,通过他的调解，这对夫妻和好如初了。
adventurous;/ədˈventʃərəs/;adj. 爱冒险的，大胆的，充满危险的;not afraid to do new and dangerous or exciting things;I felt very adventurous when I learned to rock climb. , 学会攀岩后，我就好想去冒险。
haven;/ˈheɪvn/;n. 安全的地方；避难所；  vt. 为…提供庇护所;a place where you are protected from danger, trouble, etc.;The man finally escaped to an island, a safe haven from the scary sharks.,他终于逃到了一座岛上，那儿是远离可怕鲨鱼的安全避难所。
vengeful;/ˈvendʒfl/;adj. 复仇的;showing a desire for revenge; vindictive;The vengeful worker wants to beat his boss.,复仇心切的工人想打他的老板。
advent;/ˈædvent/;n. 来临；到来；出现;the coming of an important event, person, invention, etc.;With the advent of angel, people became more devoted.,天使的降临使人们更加的虔诚了。
prevent;/prɪˈvent/;v. 预防，阻止;to stop (something) from happening or existing;The mother prevented her child from eating sweets.,妈妈不让她的小孩吃糖。
adventitious;/ˌædvenˈtɪʃəs/;adj. 外来的，偶然的;associated by chance and not an integral part;That weird-colored hair can't be hers: it must be totally adventitious.,这头诡异颜色的头发肯定不是她的，它绝对是附加的假发。
evenly;/ˈiːvnli/;adv. 均匀地，平坦地，公平地，不偏不倚地;in equal amounts or shares; in a balanced or impartial way;The weight was evenly distributed to both sides.,两边重量相等。
intervene;/ˌɪntərˈviːn/;vi. 介于中间，干涉;;I intervened and stopped the situation from getting worse.,我介入其中阻止情况变得更糟。
slovenly;/ˈslʌvnli/;adj. 不整洁的，马虎的;messy or untidy;If you weren't so slovenly, you might have some nice clean clothes to wear.,如果不是你这般邋遢，你可能还会有些漂亮干净的衣服穿。
seventy;/ˈsevnti/;num. 七十，七十个;number 70;Seventy years is a long time.,七十年是很长的时间。
competitiveness;/kəmˈpetətɪvnəs/;n. 竞争力; an aggressive willingness to compete;His competitiveness is a problem for building team unity.,他的竞争力对构建球队的统一性来说是个问题。
aggressiveness;/əˈɡresɪvnəs/;n. 侵犯，进取，攻击性;a feeling of hostility that arouses thoughts of attack;She must control her aggressiveness to remain happy.,她必须控制她的攻击性以保持愉悦。
venison;/ˈvenɪsn/;n. 野味，鹿肉;the meat of a deer;Quick, kill that deer - I love venison!,快，杀了那只鹿。我爱吃鹿肉！
convenience store;/kənˈviːniəns stɔːr/;n. （全天或长时间营业的）便利商店;;They might be small, but convenience stores sell many useful products.,它们是很小但很方便的商店，卖各种各样实用的产品。
venerable;/ˈvenərəbl/;adj. 令人尊敬的，珍贵的，庄严的;old and respected :valued and respected because of old age, long use, etc.;Most teachers are highly venerable, you should show them respect!,很多老师是令人尊敬的，你们都应该尊敬他们。
souvenir;/ˌsuːvəˈnɪr/;n. 纪念物，纪念品;something that is kept as a reminder of a place you have visited, an event you have been to, etc.;I bought this flag as a souvenir on my trip.,我在旅途中买了这面旗子作为纪念品。
vengeance;/ˈvendʒəns/;n. 复仇，报仇;the act of doing something to hurt someone because that person did something that hurt you or someone else;He would seek vengeance against the person that killed his dog.,他会找杀死这只狗的人寻仇。
insolvent;/ɪnˈsɑːlvənt/;n. 无力清偿债务者，破产者；  adj. 无清偿能力的，破产的;not having enough money to pay debts;I'm totally insolvent--I have no more money!,我完全破产了——我一点钱都没有了！
avenge;/əˈvendʒ/;v. 报复，报仇;to harm or punish someone who has harmed you or someone or something that you care about;Let me avenge your insults by socking you in the jaw!,让我给你下巴一击来报复你对我的侮辱。
adventurer;/ədˈventʃərər/;n. 冒险家，投机商人;someone who likes dangerous or exciting experiences :a person who looks for adventures;The adventurer had climbed Mt. Everest. ,这个冒险家曾登顶珠穆朗玛峰。
seventeen;/ˌsevnˈtiːn/;num. 十七;the number 17;I need the seventeen ball to win the lottery.,要想赢得彩票大奖，我还需要一个17号球。
oven;/ˈʌvn/;n. 烤箱，炉，灶;a piece of cooking equipment that is used for baking or roasting food;Please put the food in the oven to heat it!,请把食物放在烤箱中加热一下吧！
invent;/ɪnˈvent/;v. 发明;to create or produce (something useful) for the first time;Thomas Edison invented the light bulb over a hundred years ago.,爱迪生在一百多年前发明了电灯。
venal;/ˈviːnl/;adj. 唯利是图的，贪赃枉法;willing to do dishonest things in return for money;If he weren't so venal, he wouldn't have been sent to prison.,如果他没有那么唯利是图，也就不会被关进监狱了。
venial;/ˈviːniəl/;adj. 可原谅的，（罪过）轻微的，可宽恕的;not serious;Venial mistakes are easy to forgive.,轻微的过错很容易被原谅。
unevenly;/ʌnˈiːvnli/;adv. 不均匀的;in an uneven and irregular way;I have to drive slowly because this road is very unevenly surfaced.,我必须开得很慢因为这个路面不平坦。
ventriloquist;/venˈtrɪləkwɪst/;n. 口技表演者;a performer who is able to speak in a way that makes it appear that the words are being said by a large doll (called a dummy);The ventriloquist talks with his hot dog friend about where he can find the best ketchup.,这个口技表演者和他的热狗朋友说他能在哪儿找到最好的番茄酱。
anti-venom;;n. 抗毒;a medication used to treat certain venomous bites and stings;They seized the poisonous snake to produce the corresponding anti-venom.,他们抓住这条毒蛇是为了生产相应的抗毒药剂。
even;/ˈiːvn/;adj. 均匀的，平坦的，平稳的；  adv. 即使，竟然；  v. 使平，使相等;not likely to be won easily by one side or another;Neither could defeat the other - it was an even match.,谁也不能打败谁，平局。
joint venture;;合资企业;a venture by a partnership designed to share risk or expertise.;He has started a joint venture with Russian partners.,他与俄罗斯合作伙伴成立了一家合资企业。
eventual;/ɪˈventʃuəl/;adj. 最后的，终于的;coming or happening at a later time;Do you know the eventual outcome of this chemical reaction?,你知道这个化学反应的最终产物吗？
evening;/ˈiːvnɪŋ/;n. 傍晚，黄昏;the last part of the day and early part of the night;In the evening we watched the sunset by the beach.,傍晚我们在沙滩边看日落。
unconventional;/ˌʌnkənˈvenʃənl/;adj. 非常规的，不按照习惯【惯例】的，不落陈套的;very different from the things that are used or accepted by most people :not traditional or usual :not conventional;Unconventional thinking has led to a lot of great inventions. ,打破常规的思维已经带来了许多的伟大发明。
conventional;/kənˈvenʃənl/;adj. 传统的，惯例的，常规的;based on convention; following what is traditional or customary;They look like conventional business men.,他们看上去像常规的商人。
provenance;/ˈprɑːvənəns/;n. 出处，起源;the origin or source of something;The provenance of this wine must be a South-facing vineyard in Northern Italy.,这款红酒一定出自意大利北部朝南的葡萄园。
prevent ... from;;防止，妨碍，预防;take precautions against;He used his hand to prevent the other blocks from falling.,他用手防止木块倒下。
ventilate;/ˈventɪleɪt/;v. 使…通风，透风，公开讨论;to express or discuss (something) openly or publicly;She opened the window to ventilate the house.,她打开窗户为房子通风。
scavenger;/ˈskævɪndʒər/;n. 捡垃圾者，食腐动物，净化剂；  vi. 作清道夫;any animal that feeds on refuse and other decaying organic matter;The old lady made her life as a scavenger.,老妇人以捡垃圾为生。
ventilation;/ˌventɪˈleɪʃn/;n. 通风孔，出口;a mechanical system in a building that provides fresh air;The ventilation equipment in the 
convenance;/'kɑːnvəˌnɑːns/;n. 惯例，适宜;suitable behavior; propriety;A feature of Chinese marriage convenance is the groom escorting the bride to the wedding.,新郎到新娘家迎亲是中式婚礼的惯例之一。
break even;;不赔不赚，收支相抵;a time when a company or piece of business earns just enough money to pay for its costs;I paid 10000 yuan for this fruit, but I broke even through the same amount in sales.,我进这些水果花了一万块，但我保本原价卖了出去。
covenant;/ˈkʌvənənt/;n. 契约；  v. 立书保证;a formal written agreement between two or more people, businesses, countries, etc.;The covenant on this property limits who you can sell it to.,这栋地产的契约限制了你可以把它卖给谁。
adventure;/ədˈventʃər/;n. 冒险，冒险活动，奇遇;an exciting or dangerous experience;Jumping off a mountain was part of his adventure.,他的惊险经历还包括从山上跳下！
inventor;/ɪnˈventər/;n. 发明家;someone who is the first to think of or make something;Thanks to the inventor of the telephone, we can talk anytime anywhere.,多亏了电话的发明者，我们才能随时随地地聊天。
event;/ɪˈvent/;n. 事件，大事，比赛项目;something (especially something important or notable) that happens;The university's sports meeting is a very popular event.,这个大学里的运动会是很受欢迎的一项活动。
eventually;/ɪˈventʃuəli/;adv. 终于，最后;at some later time; in the end;University was difficult for me, but I graduated eventually.,大学对我来说是困难的，但是我终于毕业了。
revenue;/ˈrevənuː/;n. 收入，财政收入，国家的税收，税务局;the money that a government receives from taxes or that an organization, etc. receives from its business;Most of the government revenue comes from tax.,政府的大部分收入来源于税收。
solvent;/ˈsɑːlvənt/;adj. 有偿付能力的，有溶解力的；  n. 溶剂，解决方法;a liquid substance that is used to dissolve another substance;The liquid is solvent in water.,这种液体溶于水。
seven;/ˈsevn/;num. 七；  n. 七个，七点;7;What can you draw with these seven colors?,你能用这七种颜色画什么？
juvenile;/ˈdʒuːvənl/;n. 青少年；雏鸟；  adj. 青少年的；适合青少年的；幼稚的;relating to or meant for young people;The juveniles play together on the beach.,少年们一起在沙滩上玩。
raven;/ˈreɪvn/;n. 【鸟类】乌鸦，掠夺；  adj. 黑油油的，乌黑的;a bird that has shiny black feathers and looks like a crow but is larger;A raven kept tapping at my window.  ,一只乌鸦总是不停地触碰我的窗子。
fervent;/ˈfɜːrvənt/;adj. 狂热的，热烈的，满怀热情的;felt very strongly;They are fervent fans of the German football team.,他们是德国足球队的狂热支持者。
venerate;/ˈvenəreɪt/;v. 崇敬，敬仰;to feel or show deep respect for (someone or something that is considered great, holy, etc.);A Christian venerates Jesus Christ.,基督徒敬仰耶稣基督。
reinvent;/ˌriːɪn'vent/;v. 改造，再发明，重新使用;to present yourself/ sth in a new form or with a new image;The ex-prisoner has succeeded in reinventing himself as a businessman.,这个出狱的囚犯成功的将自己改造成为一名商人。
convenience;/kənˈviːniəns/;n. 方便；便利；舒适；便利设施;the quality of being useful, easy or suitable for somebody;Sometimes I eat instant noodles for convenience.,有时为了方便，我会吃泡面。
ravenous;/ˈrævənəs/;adj. 贪婪的，渴望的，狼吞虎咽的;very hungry;I'm ravenous - after I've eaten your sausages, I'll eat you!,我饿惨了-吃完你的香肠之后，我要把你吃掉！
even though;;尽管，即使;as though;My grandpa still dreams to be a DJ, even though he's 70 years old.,尽管爷爷已经70岁了，但是他仍梦想成为DJ。
vendor;/ˈvendər/;n. 小贩，卖主，供应商;a business that sells a particular type of product;The vendor sells fruits and vegetables by the side of the street.,这个小贩在街边卖水果和蔬菜。
venue;/ˈvenjuː/;n. 审判地，犯罪地点，发生地点，集合地点;the place where an event takes place;This theater will be the perfect venue for our performance.,这个剧院将会是我们最佳的表演场所。
