defend against;/dɪˈfend/ /əˈɡenst/;保卫……以免受;;These walls will defend our people against all their enemies.,这些城墙将保卫我们的人民不受任何敌人侵害。
come to an end;/kʌm tu ən end/;完结;;What will it look like when human life comes to an end?,人类灭绝后的世界会是怎么样的？
transcend;/trænˈsend/;v. 超越（经验、理性、信念等）的范围，超过;to rise above or go beyond the normal limits of (something);This pianist's beautiful music can transcend through cultures and the ages.,这位钢琴家的音乐超越了文化和年龄的界限。
send;/send/;v. 寄，送，发送，派遣，打发;to cause (a letter, an e-mail, a package, etc.) to go or to be carried from one place or person to another;I'm going to send a letter to my friend.,我打算给我的朋友寄一封信。
amend;/əˈmend/;v. 改进；修订；修正;to change and improve (something, such as a mistake or bad situation);She amended her boyfriend's grammar mistake.,她修正了他男朋友的语法错误。
extend;/ɪkˈstend/;v. 延伸；延长；扩展;to make something longer or larger;We plan to extend the railway to India.,我们计划将铁路延长到印度。
at the end of;/ət/ /ðə/ /end/ /ɑv/;在……结束的时候;;She stayed to watch the credits at the end of the movie.,电影结束后她留了下来看了演职员表。
attendee;/ˌæten'diː/;n. 出席者，在场者;a person who is present at a specified event.;Over 50 attendees turned up to the business event.,这场商业聚会有超过50位出席者。
addendum;/əˈdendəm/;n. 附录，附件，补遗，附加物;a section of a book that is added to the main or original text;He added an addendum to his research report listing his most recent discoveries.,他在调查报告上加了一个附录，列出了他最近的发现。
enduring;/ɪnˈdʊrɪŋ/;adj. 持久的，不朽的，能忍受的;Lasting; continuing; durable;This enduring monument to Julius Caesar is two thousand years old.,尤利乌斯•恺撒的纪念碑已经持续屹立两千年了。
endive;/'endaɪv/;n. 苦苣;;Endive is often used raw in salads.,生苦苣通常用于拌沙拉。
pretend;/prɪˈtend/;v. 假装，装扮;to imagine and act out (a particular role, situation, etc.);I pretended to study hard, but actually I chatted on my phone.,我假装很努力地学习，但是实际上我在手机上聊天。
pendulum;/ˈpendʒələm/;n. 摆，钟摆，摇摆不定的事态（或局面）;an apparatus consisting of an object mounted so that it swings freely under the influence of gravity;The pendulum of the clock swung back and forth.,钟摆来来回回地摆动着。
bartender;/'bɑːrtendər/;n. 酒保;an employee who mixes and serves alcoholic drinks at a bar.;I work as a bartender and serve drinks to customers.,我的工作是酒保，为顾客提供酒水。
splendor;/'splendə/;n. 壮丽，辉煌;things that are very beautiful or impressive;The scenery around these lakes and mountains is full of splendor.,湖泊和群山周边的景色极具壮丽。
rendering;/'rendərɪŋ/;n. 艺术表现，翻译，透视图，抹灰底层;the performance of a piece of music, a role in a play, etc; the particular way in which sth is performed;Their rendering of this dance was simply exquisite.,他们对于这支舞蹈的表现简直精湛无比。
tend to;;易于，往往会;;Dogs tend to enjoy sniffing each other's butts.,狗狗们往往会互相闻屁股。
distend;/dɪˈstend/;v. 膨胀，胀大，扩张;to become larger and rounder because of pressure from inside;His face has distended after being bitten by a mosquito.,他的脸在被蚊子咬了以后就肿了。
endlessly;/ˈendləsli/;adv. 不断地，无穷尽地; continuing forever without end;He felt he was running endlessly round in circles.,他感觉他在不断地跑圈圈。
descendant;/dɪˈsendənt/;n. 后代，后裔，派生物；  adj. 下降的，祖传的;someone who is related to a person or group of people who lived in the past;It is said that Mr. Bao is a descendant of the moon.,据说，包仲基是月亮的后裔。（歪，妖妖灵吗？有人模仿我老公！）
spend...on;/spend ɑːn/;在……花钱;spend money;Today I spent 22 euros on lunch, so expensive!,今天我花了22欧元吃午餐，好贵呀！
compendium;/kəmˈpendiəm/;n. 纲要，概略;a collection of things (such as photographs, stories, facts, etc.) that have been gathered together and presented as a group especially in the form of a book;This old book is a compendium of all the most frequently used medicinal herbs.,这本旧书是一本纪录最常用草本的刚要。
agenda;/əˈdʒendə/;n. 议事日程;a list of items to be discussed at a meeting;What topics should we put on the agenda for our afternoon meeting?,我们应该把哪些议题放入下午的会议议程中？
intend;/ɪnˈtend/;v. 想要，打算，企图;to plan or want to do (something) :to have (something) in your mind as a purpose or goal;Hi, cat, what do you intend to do - eat me, or just watch me?,嗨，小猫，你想干吗？吃掉我还是只是看着我。
render;/ˈrendər/;vt. 使成为；提供；表现；宣布；翻译；回报；给予补偿；【计】渲染；  n. 粉刷；打底；交纳;to cause (someone or something) to be in a specified condition;Four bottles of beer were enough to render him unconscious.,四瓶啤酒足以让他不省人事。
trend;/trend/;n. 趋势；倾向；时尚；  vi. 倾向；走向；转向；  vt. 使趋向;a general direction of change; a way of behaving, proceeding, etc. that is developing and becoming more common;The new trend is for girls to wear very colorful clothing.,女孩儿们现在流行穿多彩的服饰。
superintendent;/ˌsuːpərɪnˈtendənt/;n. 主管人，监督人，负责人，警长;a person who directs or manages a place, department, organization, etc.;Our headmaster is showing the superintendent around the school.,我们的校长正在带主管参观学校。
dependent;/dɪˈpendənt/;adj. 依赖的；从属的；  n. 依赖他人者;needing someone or something else for support, help, etc.;Ever since the accident, she's been dependent on me to help her get around.,从那场车祸后，她就一直依赖我帮助她走动。
endowment;/ɪnˈdaʊmənt/;n. 捐赠，捐助，捐款，天资;a large amount of money that has been given to a school, hospital, etc., and that is used to pay for its creation and continuing support;This money went towards the endowment for our school.,钱全部捐给了我们的学校。
defendant;/dɪˈfendənt/;n. 被告;a person who is being sued or accused of a crime in a court of law;The defendant is filled with regret in the court.,这个被告在法庭上充满了悔意。
tender;/ˈtendər/;adj. 温柔的，嫩的，柔弱的，脆弱的，痛的；  n. 煤水车，附属船，嫩肉；  v. 提出（希望对方接受的意见等）;very loving and gentle :showing affection and love for someone or something;You have to be soft and tender with the baby, otherwise he will start to cry.,你得对婴儿温柔呵护，不然他就会大哭。
amends;/əˈmendz/;n. 赔偿；赔罪;to do something to correct a mistake that you have made or a bad situation that you have caused;He bowed to his boss to make amends for his mistakes.,他给老板鞠躬，为他的错误赔礼道歉。
attend;/əˈtend/;v. 照顾；护理；出席；参加;to give protection, help, or care to others;The young father attends his baby with the fake boob.,年轻爸爸用假咪咪喂他的宝宝。
send up;;发出，射出;to let fly;We will send up people to explore space.,我们会将人类送入太空去探索宇宙。
boyfriend;/ˈbɔɪfrend/;n. 男朋友，情郎;a man or boy that somebody has a romantic or sexual relationship with;My boyfriend loves me so much!,我的男朋友好爱我啊！
mend;/mend/;v. 修理，缝补，改正，改进;to make (something broken or damaged) usable again :to repair (something broken or damaged);Batman needs to mend his clothing by himself after bankruptcy.,破产后，蝙蝠侠只能自己缝补衣服了~
depend on;/dɪˈpend/ /ɔn/;依靠，取决于; be contingent on;I can always depend on my husband to cheer me up.,我一直依靠我的丈夫让我振作起来。
pending;/'pendɪŋ/;adj. 待定的，即将发生或来临的；  prep. 直到，等待……的时候，在……期间;waiting to be decided or settled;The decision of who will get the job is still pending.,谁得到这份工作还是待定的。
legend;/ˈledʒənd/;n. 传说，传奇人物，（奖章纪念牌等的）铭文，地图的图例，插图的说明;a story from the past that is believed by many people but cannot be proved to be true;This is a legend about an ancient goddess.,这是一部关于一个古代女神的传说。
sender;/ˈsendər/;n. 寄件人，发报机，送话器;someone who transmits a message; set used to broadcast radio or TV signals;I really should block these senders who keep sending me junk email.,我真应该把那些老是发垃圾邮件的寄件人拉黑。
suspend;/səˈspend/;v. 悬挂，悬浮，暂停，中止;to hang something so that it is free on all sides except at the point of support;The lamp was suspended from the ceiling.,这盏灯悬挂在天花板上。
surrender;/səˈrendər/;v. 投降；屈服；放弃；交出;to admit that you have been defeated and want to stop fighting;Just surrender; don't try to fight back.,赶快投降，别试图反抗。
recommendation;/ˌrekəmenˈdeɪʃn/;n. 推荐，建议，介绍，推荐信;a suggestion about what should be done;My recommendation is that you should buy this product.,我推荐你买这种产品。
mendacious;/menˈdeɪʃəs/;adj. 撒谎的，虚假的;not honest :likely to tell lies;How can you trust someone so mendacious?,你怎能信任如此虚假的人？
endorsement;/ɪnˈdɔːrsmənt/;n. 认可，支持，背书，签注（文件）;the act of publicly saying that you like or use a product or service in exchange for money;We signed an endorsement deal with the team.,
rendezvous;/ˈrɑːndɪvuː/;n. 集会，幽会，约会地点；  v. 约会，幽会，（秘密）集会;a meeting with someone that is arranged for a particular time and place and that is often secret;We told them we'd rendezvous at the bar, so we met them there later.,我告诉他们我们在酒吧集合，所以我们过一会儿会在那里碰面。
tenderness;/ˈtendərnəs/;n. 亲切，柔软，柔和，温柔;a feeling of concern for the welfare of someone (especially someone defenseless);A mother's tenderness cannot be replaced.   ,母爱的温柔是不可替代的。
defend;/dɪˈfend/;v. 防卫，保卫，防守;to fight in order to keep (someone or something) safe :to not allow a person or thing to hurt, damage, or destroy (someone or something);Medicines can help you defend germs.,药品能帮助你防卫病毒。
interdependence;/ˌɪntərdɪˈpendəns/;n. 互相依赖;a reciprocal relation between interdependent entities;The interdependence of China's and Europe's economies is becoming more and more obvious.,中国与欧洲的经济依赖关系越来越重要也越来越明显了。
at an end;;结束，终结;;My patience with you is at an end!,我受够你了！
horrendous;/həˈrendəs/;adj. 可怕的，令人惊惧的;very bad or unpleasant;A crocodile is a really horrendous animal.,鳄鱼真的是种可怕的动物。
end up;/end/ /ʌp/;phr. 以…告终;to reach or come to a place, condition, or situation that was not planned or expected;If you commit fraud, you will end up in jail.,如果你犯了诈骗罪，你最后的结局就是坐牢。
spend;/spend/;v. 花费，用尽，度过;to use (money) to pay for something;I spend too much money on clothes!,我花了太多的钱在买衣服上。
endow;/ɪnˈdaʊ/;vt. 给予，赋予，认为…具有某种品质，资助，捐助，向…捐钱;to freely or naturally provide (someone or something);The kind man endowed a million dollars to the school.,这位好心人向该校资助了一百万美元。
friendship;/ˈfrendʃɪp/;n. 友谊，友好;the state of being friends :the relationship between friends;I hope my college friendships will survive my college years.,我希望我大学时代的友谊会比我的大学生活更长。
gender;/ˈdʒendər/;n. 性别;;What's your gender? Are you male or female?,你的性别是什么？你是男人还是女人？
ascend;/əˈsend/;vt. 沿着…上升，攀登，取得，追溯；  vi. 上升，地位等升高，追溯，向上倾斜;to slope or lead upward;I quietly ascended the ladder up to my girlfriend's window.,我悄悄地攀上通往我女朋友窗户的梯子。
reprehend;/ˌreprɪ'hend/;vt. 申斥，指责，批评;express strong disapproval of;I'll have to reprehend my son for leaving the food on the stove all night.,我必须批评我儿子，他竟然把食物放在炉子上烧了一整晚。
girlfriend;/ˈɡɜːrlfrend/;n. 女朋友;;I'm going to the movies with my girlfriend tonight. Wish me luck!,今晚我要跟女友去看电影。祝我好运吧！
innuendo;/ˌɪnjuˈendoʊ/;n. 暗讽，讽刺，影射；  vt. 暗示，旁敲侧击地表达；  vi. 影射，说讽刺话;;Innuendo from the enemy was displeasing and discouraging.,敌人的暗讽是使人不悦、沮丧的。
ending;/ˈendɪŋ/;n. 结尾，结局，末尾;the final part of something;The film has a happy ending.,这部电影有一个完美的结局。
endure;/ɪnˈdʊr/;v. 忍受，容忍;to experience (pain or suffering) for a long time;I have to endure a bunch of weird smells on my way to work.,我不得不忍受上班路上的怪味。
endotherm;/'endəˌθəm/;n. 恒温动物，温血动物;an animal that is dependent on or capable of the internal generation of heat;Mammals are endotherms that generate their own body heat.,哺乳动物是能自己产生热量的恒温动物。
fiend;/fiːnd/;n. 恶魔，能手，……迷;an evil spirit :a demon or devil;There are all kinds of evil fiends and demons in Hell.,地狱里有各种邪恶的恶魔。
serendipity;/ˌserənˈdɪpəti/;n. 善于发掘新奇事物的天赋;luck that takes the form of finding valuable or pleasant things that are not looked for;By a stroke of serendipity, I got a really good poker hand!,好运降临，我拿到了超级好的一手牌！
dependant;/dɪˈpendənt/;n. （子女等）受抚养者，受供养者，侍从，食客;a person who relies on another person for support (especially financial support);My daughter is my dependant. ,我是女儿的依靠。
expenditure;/ɪkˈspendɪtʃər/;n. （时间、金钱等的）花费，支出，消耗;the act of spending or using money; an amount of money spent;Most of my expenditures are food-related.,我大部分的支出都和食物有关。
spend on sth;;在某物上花费多少钱;;I spent 200 RMB on this new sweater.,我在这件新毛衣上花了200元。
splendour;/ˈsplendər/;n. 壮丽，杰出，壮观;excellent or grand beauty; state or quality of being splendid, magnificent, glorious or grand;The city lost its former splendour because of the war.,这个城市因为战争失去了以往的繁荣。
friendship;/ˈfrendʃɪp/;n. 友谊，友好;the state of being friends :the relationship between friends;I hope my college friendships will survive my college years.,我希望我大学时代的友谊会比我的大学生活更长。
on end;/ɔn/ /end/;adv. 直立;on end or upright;The man's hair is on end.,那个男人的头发直立着。
friend;/frend/;n. 朋友，友人;a person who has the same interests and opinions as yourself, and who will help and support you;We're all good friends.,我们都是好朋友。
engender;/ɪnˈdʒendər/;v. 产生;to be the source or cause of (something);A new-born baby will almost always engender feelings of protectiveness and love.,新生的宝宝总会让人产生一种保护和关爱感。
stupendous;/stuːˈpendəs/;adj. 巨大的，大得惊人的;so large or great that it amazes you;The Giant Buddha is stupendous! It's even larger than I expected!,乐山大佛真是大得惊人！比我想象中的还要大！
contender;/kənˈtendər/;n. 竞争者，打孔装置，钻机;a person who tries to win something in a contest;The contenders prepared for the race.,比赛者在准备跑步。
endeavour;/ɪnˈdevər/;n. 尝试；努力；尽力；  v. 努力；竭力；尝试;attempt by employing effort;It's a difficult endeavour, but he thinks that he can do it.,这是一场艰难的尝试，但他认为他能做到。
ascendant;/əˈsendənt/;n. 优势，支配地位；  adj. 上升的，优越的;becoming more powerful :gaining more power;The reign of the mammals is over! The penguins are now ascendant!,哺乳动物的统治结束了！企鹅现在占支配地位。
tremendously;/trəˈmendəsli/;adv. 惊人地，非常，十分;;The atomic explosion was tremendously loud, bright, and destructive.,原子弹爆炸非常响、非常亮，极具有破坏性。
attendant;/əˈtendənt/;n. 服务员，侍者，随从；  adj. 伴随的，随之而产生的;an assistant or servant;"What kind of wine would you like tonight?" asked our attendant.,“你们今晚想喝什么样的红酒？”我们的服务员问道。
ascending;/ə'sendɪŋ/;adj. 上升的;to rise from a lower level or degree;The bars are organized in ascending order.,柱形图被组织成了上升顺序。
at a loose end;/ət/ /ə/ /lus/ /end/;adv. 不知做什么好;don't know what to do;He's at a loose end; he doesn't know which way to go.,他闲着无事可做，不知道如何做选择。
retender;/rɪ'tendə/;v. 重招标;to sell the delivery notice on a futures contract;The investor decided to retender his oil futures due to the recent drop in oil prices.,因为近期油价下跌，这个投资者打算为自己的原油期货重新招标。
endurance;/ɪnˈdʊrəns/;n. 忍耐力，耐性，耐用度;the ability to deal with pain or suffering that continues for a long time;It takes mental and physical endurance to run a marathon.,跑马拉松既需要体力，也需要心理承受力。
fender;/ˈfendər/;n. 挡泥板，防御物，防护板，（汽车的）保险杠;a part of a vehicle that covers a wheel;I need to replace the fender on my old car.,我需要更换我的旧车上的挡泥板了。
blender;/ˈblendər/;n. 掺和器，搅拌机;;I feel like I'm getting into a blender, when I walk into my office.,当我走进公司的时候，感觉就像进入了一个搅拌机。
set the agenda;;制定议程;to decide what subjects other people should discuss and deal with;We set the agenda for the conference to make sure everything went smoothly.,我们为会议制定了日程以确保它平稳开展。
spendthrift;/ˈspendθrɪft/;adj. 挥霍无度的，浪费的；  n. 挥霍无度的人，浪费的人;a person who spends money in a careless or wasteful way;She is such a spendthrift, she spends her entire paycheck every month.,她真是个挥霍无度的人，每个月工资都花得精光。
over-dependence;/'oʊvərdɪ'pendəns/;n. 过度依赖;the state or fact of being too dependent, esp for help or support;I've had enough of your over-dependence on me; let go of my leg!,我受够了你的过度依赖，快放开我的腿！
attendance;/əˈtendəns/;n. 出勤率；出席人数；出席者；随员;the number of people present at an event, meeting, etc.;The attendance is compulsory for this conference.,这个会议大家必须出席。
bend;/bend/;v. （使）弯曲，（使）改变（主意），使屈服；  n. 弯曲，弯曲处，倾向，屈服;cause something to be out of a straight line or surface; force into a curve or angle;First bend to the right, then bend to the left.,先向右弯曲，再向左弯曲。
endanger;/ɪnˈdeɪndʒər/;vt. 危及，危害;to cause (someone or something) to be in a dangerous place or situation;We endanger pandas by destroying their habitat.,我们毁坏了熊猫的聚居地，使它们的生存处于危机之中。
crescendo;/krəˈʃendoʊ/;n. （音乐）渐强，高潮;a gradual increase in the loudness of a sound or section of music;Now, when the song rises towards a crescendo, is the most exciting part.,
endemic;/enˈdemɪk/;adj. 地方性的；  n. 地方病;growing or existing in a certain place or region;Giant pandas are endemic to Sichuan.,大熊猫是四川的地方性动物。
offender;/əˈfendər/;n. 罪犯，冒犯者;a person who commits a crime;I think my cat has the potential to be a sex offender.,我想我的猫有可能成为性犯罪者。
tendentious;/tenˈdenʃəs/;adj. 有偏见的，有倾向的，宣传性的;strongly favoring a particular point of view in a way that may cause argument :expressing a strong opinion;American politics are becoming increasingly tendentious.,美国政治变得越来越有倾向性了。
suspender;/səˈspendər/;n. （裤子的）背带;straps that are used for holding up pants and that go over a person's shoulders;The shirtless man wears suspenders.,那个没穿衣服的男人挂着吊带。
condescending;/ˌkɑːndɪˈsendɪŋ/;adj. 贬低的，有优越感的;showing that you believe you are more intelligent or better than other people;He has a condescending attitude towards his colleagues.,他对他的同事们总是有种居高临下的姿态。
independent;/ˌɪndɪˈpendənt/;adj. 独立自主的；  n. 无党派人士;not requiring or relying on other people for help or support;India became independent in 1947 under the leadership of Gandhi.,在圣雄甘地的领导下，印度于1947年独立了。
incendiary;/ɪnˈsendieri/;n. 放火者，纵火者，燃烧弹，煽动者；  adj. 放火的，纵火的，能燃烧的，煽动性的;containing chemicals that explode into flame :producing a fire;Last night was an incendiary extravaganza of fireworks and dance.,昨晚举行了一场烟火和歌舞的盛大表演。
in the end;;最后，终于;terminal;In the end, every runner is a winner.,最终，每个跑者都是赢家。
fend for oneself;/fend/ /fɔr/ /wʌnˈself/;自己谋生;fight for oneself;Help me - I'm too old to fend for myself!,请帮帮我-我老得无法谋生了！
befriend;/bɪˈfrend/;v. 帮助，待人如友;;I'm glad he befriended me when I was so sad.,我很高兴他在我悲伤时帮助了我。
tend;/tend/;v. 照料，倾向;to give your attention to and take care of (something or someone);They tend the tree with care.,他们小心照料这棵树。
independence;/ˌɪndɪˈpendəns/;n. 独立，自主，自立;freedom from outside control or support; the state of being independent;America gained its independence from Britain in 1776!,美国1776年从英国获得独立。
commendation;/ˌkɑːmenˈdeɪʃn/;n. 推荐，赞扬，奖品;;Her work was so good, everyone thought she deserved a commendation.,她的工作如此的好，每个人都认为她值得嘉奖。
pendant;/ˈpendənt/;n. 吊坠，下垂物；  adj. 吊着的，悬挂的;a piece of jewelry that hangs on a chain or a cord which is worn around your neck;The pendant around the girl’s neck is ring-shaped.,这个女孩的项链吊坠是环形的。
end;/end/;n. 终点，末端；  v. 结束;the first or last part or section of something that is long;The end of the race was very close.,比赛结果很接近。
perpendicular;/ˌpɜːrpənˈdɪkjələr/;adj. 垂直的；成直角的；直立的；  n. 垂直线;going straight up or to the side at a 90 degree angle from another line or surface;The two lines are perpendicular to one another.,这两条线互相垂直。
referendum;/ˌrefəˈrendəm/;n. 公民投票，复决权;an event in which the people of a county, state, etc., vote for or against a law that deals with a specific issue :a public vote on a particular issue;A referendum requires all qualified citizens to vote.,全民公投要求所有选民参与投票。
resplendent;/rɪˈsplendənt/;adj. 华丽的，辉煌的;very bright and attractive;Oh my goodness, what a resplendent and magnificent room!,天呐，多么金壁辉煌、宏伟绚丽的大殿啊！
descend;/dɪˈsend/;vi. 下降，下来，突然访问，降临；  vt. 下移，下降，走下;to go down :to go or move from a higher to a lower place or level;The elevator descends slowly to the ground floor.,电梯缓缓地向一楼下降。
offending;/əˈfendɪŋ/;adj. 令人不愉快的，伤害人感情的;hurting the feeling of; causing displeasure to;Grandpa's offending gesture gave everyone a lot of laughs.,爷爷冒犯人的手势让所有人都笑了。
tremendous;/trəˈmendəs/;adj. 巨大的；极大的；惊人的;very large or great;I felt tremendous living pressure.,我的生活压力很大。
endless;/ˈendləs/;adj. 无止境的，没完没了的，连续的，循环的，漫无目的的;having no end :seeming to have no end :lasting or taking a long time;This road seems endless - are we nearly there yet?,这条路看起来没有尽头啊，我们还没到吗？
endeavor;/ɪn'devər/;n. 努力，尽力；  v. 努力，尽力;an effort to do or attain something;Climbing this mountain is a risky endeavor.,爬这座山是一次冒险的尝试。
depend on (upon);/dɪˈpend/ /ɔn/ /əˈpɑn/;依靠，相信，信赖;be dependent on;My grandma has to depend on a wheelchair.,我的奶奶必须依靠轮椅出行。
rend;/rend/;v. 撕碎，分裂，强夺;to tear (something) into pieces with force or violence;I'd like to rend YOU, as well as this stupid contract!,我想把你和这个愚蠢的合同一起撕碎！
splendid;/ˈsplendɪd/;adj. 壮观的，极好的，辉煌的，豪华的;very impressive and beautiful;The palace looks really splendid at night.,布达拉宫晚上看起来格外壮丽呀！
dividend;/ˈdɪvɪdend/;n. （股份的）红利，回报，效益，被除数;an amount of a company's profits that the company pays to people who own stock in the company;The company paid dividends to its investors.,公司给投资者分了红。
superintend;/ˌsuːpərɪnˈtend/;v. 监督，主管，指挥;to direct or manage (something, such as a project or activity);The media helps people to superintend civil servants more easily.,大众媒体使得群众监管公务员更加容易。
dependence;/dɪˈpendəns/;n. 依靠，依赖，信任，信赖;the state of being addicted to alcohol or a drug;I need to do something about my dependence on alcohol.,我需要做点事来减少自己对酒精的依赖。
interdependency;/ɪn'tədɪpendənsɪ/;n. 相互依赖，相关性;a reciprocal relation between interdependent entities (objects or individuals or groups);The Yin-Yang symbol illustrates the interdependency of Yin and Yang.,这个八卦符号阐释了阴和阳的相互依赖性。
lend;/lend/;v. 把…借给，贷（款）;to give (something) to (someone) to be used for a period of time and then returned;Could you lend me some money? I will pay you back later.,你能借我一些钱吗？我以后会还给你。
send out;;发出，派遣;to dispatch someone to convey a message or do an errand;The tower is able to send out a signal to all the cell phones in the city.,这座塔能向城中的所有手机发射信号。
recommend;/ˌrekəˈmend/;v. 推荐，介绍，劝告，建议;to say that (someone or something) is good and deserves to be chosen;I recommend this toilet paper because its quality is better.,我推荐这种厕纸，因为它的质量更好。
vendor;/ˈvendər/;n. 小贩，卖主，供应商;a business that sells a particular type of product;The vendor sells fruits and vegetables by the side of the street.,这个小贩在街边卖水果和蔬菜。
appendix;/əˈpendɪks/;n. 【解剖学】阑尾，附属物，附录；  vt. 加附录于;a small tube at the beginning of the large intestine that can be removed by surgery if it becomes infected;There's a problem with his appendix so it will have to be removed. ,他的阑尾出问题了，必须要切除。
depend;/dɪˈpend/;v. 依靠，相信，依赖;to need the support, help, or existence of someone;Sometimes people have to depend on others for help.,有时候人们需要依赖他人的帮助。
make friends;/meɪk frends/;交朋友;know sb.;We made friends with each other in this game.,玩完这个游戏，我们成为了好朋友。
rendition;/renˈdɪʃn/;n. 给予，提供，表演，译文;a performance of something;Your rendition of Beethoven was fantastic!,你对贝多芬作品的演绎真是太棒了！
